etext_id,title
11617,"Punch, or the London Charivari, Volume 156, April"
6532,"Tarzan of the Apes by Edgar Rice Burroughs"
1401,"Tarzan the Untamed by Edgar Rice Burroughs"
8754,"Son of Tarzan by Edgar Rice Burroughs"
106,"Jungle Tales of Tarzan by Edgar Rice Burroughs"
559,"Greenmantle by John Buchan"
2681,"Ten Years Later by Alexandre Dumas"
2710,"Louise de la Valliere by Alexandre Dumas"
10743,"Moonfleet by John Meade Falkner"
5745,"She and Allan by Henry Rider Haggard"
2713,"Maiwa's Revenge by Henry Rider Haggard"
2841,"The Ivory Child by Henry Rider Haggard"
215,"The Call of the Wild by Jack London"
19678,"Call of the Wild by Jack London"
5805,"The League of the Scarlet Pimpernel by Orczy"
2785,"The Elusive Pimpernel by Orczy"
2225,"Captains Courageous by Rudyard Kipling"
589,"Catriona by Robert Louis Stevenson"
3526,"Five Weeks in a Balloon by Jules Verne"
6693,"People of Africa by Edith A. How"
3233,"In the Heart of Africa by Sir Samuel White Baker"
7937,"Journal of an African Cruiser by Horatio Bridge"
6886,"First Footsteps in East Africa by Burton"
2609,"The Vicomte De Bragelonne by Alexandre Dumas"
558,"The Thirty-Nine Steps by John Buchan"
1452,"Native Life in South Africa by Sol  Plaatje"
14297,"The Congo and Coasts of Africa by Davis"
16672,"The Last Journals of David Livingstone, in Central"
5760,"Two Trips to Gorilla Land and the Cataracts of the"
5761,"Two Trips to Gorilla Land and the Cataracts of the"
11772,"Naufrage de la frigate la Méduse. English"
12539,"Observations Upon the Windward Coast of Africa"
8107,"The Principal Navigations, Voyages, Traffiques and"
12667,"Lander's Travels by Robert Huish"
5891,"Travels in West Africa by Mary H. Kingsley"
5157,"How I Found Livingstone; travels, adventures, and"
8814,"The Journal of a Mission to the Interior of Africa"
8564,"Life and Travels of Mungo Park in Central Africa"
5305,"Travels in the Interior of Africa — Volume 02"
17164,"Narrative of a Mission to Central Africa Performed"
18544,"Narrative of a Mission to Central Africa Performed"
3810,"The Man-Eaters of Tsavo and Other East African Adv"
16280,"Beiträge zur Entdeckung und Erforschung Africa's."
17599,"Von Tripolis nach Alexandrien - 1. Band by Rohlfs"
22575,"Le Tour du Monde; Afrique Orientale by Various"
15399,"The Interesting Narrative of the Life of Olaudah E"
15042,"A Narrative of the Most Remarkable Particulars in"
21391,"Great African Travellers by Kingston"
23638,"Reminiscences of a South African Pioneer by Scully"
12428,"The History of the Rise, Progress and Accomplishme"
17700,"The Suppression of the African Slave Trade to the"
10611,"An Essay on the Slavery and Commerce of the Human"
21899,"A Rip Van Winkle Of The Kalahari by Cornell"
21059,"The Adventures of Dick Maitland by Collingwood"
21060,"The Congo Rovers by Harry Collingwood"
21070,"A Middy of the Slave Squadron by Harry Collingwood"
17615,"In Search of the Okapi by Ernest Glanville"
2761,"Benita, an African romance by Henry Rider Haggard"
2857,"A Yellow God: an Idol of Africa by Haggard"
21472,"Ned Garth by William Henry Giles Kingston"
21490,"The Two Supercargoes by Kingston"
21448,"The African Trader by William Henry Giles Kingston"
1458,"Dream Life and Real Life; a little African story"
4715,"An African Millionaire by Grant Allen"
1980,"Stories by English Authors: Africa (Selected by Sc"
2095,"Clotelle: a Tale of the Southern States by Brown"
241,"Clotelle; or, the Colored Heroine, a tale of the S"
2046,"Clotel; or, the President's Daughter by Brown"
19746,"The Colonel's Dream by Charles W.  Chesnutt"
11666,"The Conjure Woman by Charles W.  Chesnutt"
15132,"The Narrative of William W. Brown, a Fugitive Slav"
472,"The House Behind the Cedars by Chesnutt"
11228,"The Marrow of Tradition by Charles W.  Chesnutt"
11057,"The Wife of his Youth and Other Stories of the Col"
15041,"The Negro Problem"
6545,"Frederick Douglass on Reconstruction by Douglass"
10431,"Thirty Years a Slave by Louis Hughes"
11030,"Incidents in the Life of a Slave Girl by Jacobs"
202,"My Bondage and My Freedom by Frederick Douglass"
99,"Collected Articles of Frederick Douglass"
9941,"Biography of a Slave by Charles Thompson"
26600,"Mother Earth, Vol. 1 No. 1, March 1906 by Various"
27118,"Mother Earth, Vol. 1 No. 2, April 1906 by Various"
27341,"Mother Earth, Vol. 1 No. 4, June 1906 by Various"
4341,"Mutual Aid; a factor of evolution by Kropotkin"
